id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Eric;Daugherty;Frederick_OConnell72@hotmail.com;local area network Benin;2019-08-12T02:20:12;36771;63633
2;Dimitri;Friesen;Lamar.Wiza48@gmail.com;Investor users dot-com;2019-08-11T23:03:56;57690;66892
3;Jeramie;Stracke;Daren.Reichert@gmail.com;Shoes deposit;2019-08-12T10:17:50;99455;94045
4;Janet;Wilkinson;Tavares_Tillman@gmail.com;Factors;2019-08-12T06:36:36;42818;55276
5;Vita;Marquardt;Wilhelmine29@hotmail.com;reinvent;2019-08-11T18:07:15;26847;31692
6;Jazmyne;Dach;Kaylie_Huels69@yahoo.com;Arkansas Intelligent Credit Card Account;2019-08-11T14:47:13;35864;14008
7;Deonte;Larson;Serenity_Hammes69@gmail.com;Sudanese Pound;2019-08-12T05:55:13;55281;29359
8;Elenora;Schowalter;Ramiro_Gaylord91@yahoo.com;Avon;2019-08-12T02:30:42;62789;79829
9;Clemmie;O'Conner;Maybelle.Hyatt89@gmail.com;value-added incubate Practical;2019-08-12T00:40:10;67202;3594
10;Erling;Kohler;Karen83@gmail.com;TCP Assimilated;2019-08-12T13:36:57;82260;30326
